Date,ZM,MSFT,CRM,GOOGL,DBX,XLK
2023-02-15 00:00:00-05:00,80.7699966430664,265.6352233886719,170.14964294433594,96.58985137939453,24.170000076293945,141.8781280517578
2023-02-16 00:00:00-05:00,77.91000366210938,258.56329345703125,167.17625427246094,95.1650161743164,23.959999084472656,139.41651916503906
2023-02-17 00:00:00-05:00,76.11000061035156,254.52926635742188,164.25259399414062,94.00920867919922,21.219999313354492,137.6737060546875
2023-02-21 00:00:00-05:00,72.47000122070312,249.21298217773438,160.7222900390625,91.45845794677734,21.290000915527344,134.40463256835938
2023-02-22 00:00:00-05:00,73.38999938964844,248.06886291503906,162.45262145996094,91.31896209716797,21.219999313354492,134.2077178955078
2023-02-23 00:00:00-05:00,74.56999969482422,251.28427124023438,163.20840454101562,90.56170654296875,21.020000457763672,136.43304443359375
2023-02-24 00:00:00-05:00,73.93000030517578,245.81019592285156,161.299072265625,88.80805969238281,20.600000381469727,134.00094604492188
2023-02-27 00:00:00-05:00,73.72000122070312,246.73733520507812,162.23385620117188,89.54539489746094,20.489999771118164,134.71974182128906
2023-02-28 00:00:00-05:00,74.58999633789062,246.00747680664062,162.7012481689453,89.73470306396484,20.399999618530273,134.42434692382812
2023-03-01 00:00:00-05:00,69.62000274658203,242.90057373046875,166.42047119140625,90.03362274169922,20.549999237060547,133.439697265625
2023-03-02 00:00:00-05:00,70.62999725341797,247.67434692382812,185.5535888671875,91.66769409179688,20.670000076293945,135.0840606689453
2023-03-03 00:00:00-05:00,70.80999755859375,251.79713439941406,185.3944854736328,93.31173706054688,20.6299991607666,137.98875427246094
2023-03-06 00:00:00-05:00,71.33000183105469,253.35552978515625,182.7790985107422,94.78638458251953,20.3799991607666,138.6484832763672
2023-03-07 00:00:00-05:00,69.6500015258789,250.6727294921875,182.30178833007812,93.52098083496094,20.110000610351562,136.9253387451172
2023-03-08 00:00:00-05:00,68.91000366210938,250.2289276123047,181.93380737304688,93.9095687866211,20.06999969482422,138.05770874023438
2023-03-09 00:00:00-05:00,67.62000274658203,248.86781311035156,177.72731018066406,91.98654174804688,19.610000610351562,136.07855224609375
2023-03-10 00:00:00-05:00,67.12000274658203,245.18881225585938,172.21807861328125,90.30264282226562,19.1200008392334,133.6858673095703
2023-03-13 00:00:00-04:00,68.66999816894531,250.44589233398438,174.53515625,90.78091430664062,18.969999313354492,134.4145050048828
2023-03-14 00:00:00-04:00,68.98999786376953,257.2219543457031,181.87416076660156,93.63058471679688,19.559999465942383,137.51614379882812
2023-03-15 00:00:00-04:00,71.02999877929688,261.8082580566406,181.89404296875,95.76285552978516,19.65999984741211,137.59490966796875
2023-03-16 00:00:00-04:00,70.58999633789062,272.4211120605469,186.25965881347656,99.9576416015625,19.959999084472656,141.45472717285156
2023-03-17 00:00:00-04:00,69.19000244140625,275.6068420410156,183.82327270507812,101.2529525756836,20.010000228881836,141.25779724121094
2023-03-20 00:00:00-04:00,69.30000305175781,268.5054016113281,184.22105407714844,100.85440063476562,20.520000457763672,141.6387176513672
2023-03-21 00:00:00-04:00,71.8499984741211,270.0341796875,187.6320037841797,104.54103088378906,21.149999618530273,142.78341674804688
2023-03-22 00:00:00-04:00,68.75,268.5646057128906,185.47402954101562,102.99663543701172,20.860000610351562,141.3623809814453
2023-03-23 00:00:00-04:00,69.19000244140625,273.8611145019531,186.39889526367188,105.21857452392578,21.110000610351562,143.6616973876953
2023-03-24 00:00:00-04:00,69.04000091552734,276.7312927246094,189.00433349609375,105.05915832519531,21.15999984741211,144.0366973876953
2023-03-27 00:00:00-04:00,68.56999969482422,272.59857177734375,190.19766235351562,102.08992004394531,21.1299991607666,142.9215850830078
2023-03-28 00:00:00-04:00,68.54000091552734,271.4643249511719,191.2318878173828,100.66507720947266,20.959999084472656,142.25051879882812
2023-03-29 00:00:00-04:00,70.5999984741211,276.672119140625,195.5477752685547,101.02377319335938,21.170000076293945,145.2307586669922
2023-03-30 00:00:00-04:00,72.04000091552734,280.16363525390625,195.50799560546875,100.52558135986328,21.0,146.91822814941406
2023-03-31 00:00:00-04:00,73.83999633789062,284.35546875,198.67034912109375,103.35533142089844,21.6200008392334,149.02017211914062
2023-04-03 00:00:00-04:00,73.66999816894531,283.3001708984375,195.3986358642578,103.9830551147461,21.350000381469727,148.78330993652344
2023-04-04 00:00:00-04:00,73.63999938964844,283.2508544921875,196.10467529296875,104.34175109863281,21.350000381469727,147.96426391601562
2023-04-05 00:00:00-04:00,71.0999984741211,280.44964599609375,194.2251739501953,104.09265899658203,21.15999984741211,146.2767791748047
2023-04-06 00:00:00-04:00,71.8499984741211,287.6103515625,191.48049926757812,108.02838897705078,21.25,147.10572814941406
2023-04-10 00:00:00-04:00,71.16999816894531,285.43060302734375,190.4263916015625,106.0555419921875,21.079999923706055,147.02676391601562
2023-04-11 00:00:00-04:00,70.0,278.9603576660156,187.84083557128906,104.96947479248047,20.760000228881836,145.64520263671875
2023-04-12 00:00:00-04:00,67.48999786376953,279.611328125,189.26290893554688,104.26203918457031,20.799999237060547,144.81629943847656
2023-04-13 00:00:00-04:00,70.18000030517578,285.87445068359375,192.9423370361328,107.04196166992188,21.8799991607666,147.5102996826172
2023-04-14 00:00:00-04:00,69.5,282.22509765625,193.56881713867188,108.47676086425781,22.049999237060547,146.69125366210938
2023-04-17 00:00:00-04:00,67.62000274658203,284.8486633300781,195.98533630371094,105.58724212646484,22.049999237060547,147.22415161132812
2023-04-18 00:00:00-04:00,67.2699966430664,284.4245300292969,197.39744567871094,104.12255096435547,22.149999618530273,147.67807006835938
